2609.TW,2603.TW,2615.TW,5608.TW,2605.TW,2606.TW,2637.TW
32.150001525878906,44.75,51.909088134765625,13.100000381469727,23.350000381469727,36.70000076293945,24.899999618530273
32.0,45.5,49.6363639831543,13.0,22.850000381469727,37.150001525878906,24.950000762939453
28.799999237060547,42.54999923706055,45.727272033691406,12.199999809265137,21.100000381469727,35.75,24.450000762939453
25.950000762939453,38.45000076293945,43.04545211791992,11.399999618530273,20.649999618530273,34.79999923706055,24.049999237060547
27.299999237060547,40.29999923706055,44.09090805053711,12.399999618530273,20.600000381469727,35.79999923706055,24.350000381469727
28.549999237060547,42.650001525878906,45.818180084228516,12.850000381469727,21.75,37.400001525878906,26.75
25.700000762939453,38.54999923706055,44.59090805053711,12.050000190734863,20.600000381469727,35.54999923706055,26.75
24.0,37.45000076293945,43.6363639831543,11.25,20.600000381469727,36.0,27.0
25.899999618530273,38.04999923706055,43.68181610107422,12.350000381469727,20.950000762939453,36.70000076293945,27.600000381469727
23.350000381469727,34.25,39.318180084228516,11.199999809265137,19.799999237060547,34.95000076293945,26.0
23.799999237060547,34.0,41.0,11.0,19.549999237060547,34.70000076293945,25.200000762939453
21.850000381469727,32.0,39.272727966308594,10.449999809265137,19.299999237060547,35.25,24.899999618530273
20.200000762939453,30.450000762939453,38.272727966308594,9.5600004196167,18.049999237060547,33.5,23.799999237060547
20.850000381469727,32.099998474121094,38.818180084228516,9.720000267028809,18.25,33.5,24.149999618530273
22.600000381469727,35.0,40.727272033691406,10.25,18.950000762939453,34.349998474121094,24.5
23.0,35.349998474121094,41.5,10.75,19.0,34.29999923706055,25.0
21.600000381469727,33.650001525878906,41.45454406738281,10.149999618530273,18.75,33.599998474121094,24.549999237060547
20.799999237060547,32.45000076293945,40.5,9.960000038146973,18.600000381469727,33.04999923706055,24.5
20.700000762939453,33.20000076293945,40.68181610107422,10.25,18.549999237060547,32.400001525878906,24.299999237060547
19.75,31.200000762939453,38.909088134765625,9.8100004196167,17.600000381469727,31.25,23.899999618530273
19.049999237060547,31.200000762939453,37.59090805053711,9.90999984741211,17.600000381469727,32.04999923706055,24.049999237060547
20.950000762939453,34.099998474121094,39.54545211791992,10.350000381469727,17.899999618530273,33.0,24.5
21.600000381469727,33.54999923706055,38.409088134765625,9.979999542236328,17.649999618530273,32.54999923706055,24.350000381469727
21.950000762939453,33.95000076293945,39.54545211791992,9.9399995803833,17.649999618530273,32.45000076293945,24.75
21.5,33.70000076293945,38.3636360168457,9.899999618530273,17.350000381469727,32.5,24.649999618530273
23.649999618530273,36.70000076293945,39.909088134765625,10.350000381469727,18.0,33.150001525878906,25.75
25.549999237060547,37.45000076293945,41.1363639831543,11.350000381469727,19.799999237060547,35.25,26.75
25.600000381469727,36.849998474121094,40.45454406738281,11.5,20.0,35.150001525878906,26.399999618530273
28.149999618530273,39.400001525878906,42.5,12.100000381469727,20.25,35.150001525878906,26.649999618530273
28.25,38.349998474121094,42.45454406738281,11.899999618530273,20.049999237060547,35.099998474121094,26.850000381469727
27.899999618530273,36.75,41.818180084228516,11.649999618530273,19.5,34.54999923706055,27.100000381469727
28.5,37.650001525878906,43.0,11.649999618530273,20.0,35.0,27.899999618530273
29.0,37.95000076293945,43.59090805053711,11.699999809265137,20.0,34.650001525878906,27.850000381469727
27.100000381469727,36.5,41.3636360168457,11.300000190734863,19.549999237060547,33.599998474121094,27.299999237060547
27.600000381469727,38.04999923706055,43.0,11.449999809265137,20.0,34.70000076293945,27.950000762939453
26.600000381469727,37.29999923706055,41.8636360168457,11.75,20.0,35.849998474121094,28.25
26.049999237060547,37.29999923706055,41.68181610107422,11.449999809265137,19.649999618530273,36.0,27.899999618530273
26.799999237060547,37.349998474121094,41.272727966308594,11.649999618530273,19.549999237060547,35.5,28.0
27.600000381469727,38.400001525878906,43.18181610107422,11.800000190734863,19.950000762939453,36.70000076293945,28.649999618530273
28.0,38.04999923706055,42.727272033691406,11.699999809265137,19.950000762939453,36.5,28.850000381469727
28.100000381469727,38.150001525878906,42.95454406738281,11.75,19.950000762939453,36.400001525878906,28.799999237060547
29.149999618530273,38.79999923706055,43.09090805053711,11.600000381469727,20.0,36.70000076293945,29.049999237060547
31.299999237060547,40.0,44.272727966308594,12.75,22.0,37.75,29.850000381469727
30.049999237060547,39.599998474121094,44.227272033691406,13.850000381469727,22.600000381469727,37.29999923706055,29.899999618530273
31.299999237060547,40.099998474121094,44.54545211791992,14.100000381469727,21.850000381469727,37.650001525878906,30.200000762939453
31.899999618530273,41.650001525878906,45.409088134765625,15.5,22.549999237060547,38.0,31.450000762939453
32.599998474121094,41.70000076293945,45.04545211791992,17.049999237060547,22.5,37.70000076293945,32.0
35.849998474121094,45.849998474121094,49.54545211791992,18.75,23.0,39.0,32.95000076293945
33.5,42.75,47.0,17.549999237060547,21.799999237060547,38.79999923706055,32.400001525878906
33.79999923706055,43.70000076293945,47.272727966308594,17.149999618530273,21.25,38.75,32.0
32.5,41.70000076293945,45.3636360168457,16.450000762939453,20.649999618530273,37.349998474121094,30.850000381469727
34.0,43.04999923706055,48.09090805053711,17.75,21.299999237060547,37.900001525878906,32.349998474121094
35.25,43.79999923706055,50.3636360168457,18.200000762939453,21.5,39.400001525878906,33.0
35.400001525878906,43.79999923706055,49.6363639831543,17.649999618530273,21.149999618530273,39.54999923706055,32.95000076293945
37.70000076293945,45.5,50.09090805053711,18.0,21.899999618530273,41.29999923706055,35.79999923706055
40.150001525878906,47.900001525878906,50.818180084228516,18.0,21.75,42.349998474121094,36.45000076293945
