2609.TW,2603.TW,2615.TW,5608.TW,2605.TW,2606.TW,2637.TW
32.150001525878906,44.75,45.13833999633789,13.100000381469727,23.350000381469727,36.70000076293945,24.899999618530273
32.0,45.5,43.16205596923828,13.0,22.850000381469727,37.150001525878906,24.950000762939453
28.799999237060547,42.54999923706055,39.76284408569336,12.199999809265137,21.100000381469727,35.75,24.450000762939453
25.950000762939453,38.45000076293945,37.43082809448242,11.399999618530273,20.649999618530273,34.79999923706055,24.049999237060547
27.299999237060547,40.29999923706055,38.33992004394531,12.399999618530273,20.600000381469727,35.79999923706055,24.350000381469727
28.549999237060547,42.650001525878906,39.841896057128906,12.850000381469727,21.75,37.400001525878906,26.75
25.700000762939453,38.54999923706055,38.77470397949219,12.050000190734863,20.600000381469727,35.54999923706055,26.75
24.0,37.45000076293945,37.944664001464844,11.25,20.600000381469727,36.0,27.0
25.899999618530273,38.04999923706055,37.984188079833984,12.350000381469727,20.950000762939453,36.70000076293945,27.600000381469727
23.350000381469727,34.25,34.18972396850586,11.199999809265137,19.799999237060547,34.95000076293945,26.0
23.799999237060547,34.0,35.65217208862305,11.0,19.549999237060547,34.70000076293945,25.200000762939453
21.850000381469727,32.0,34.15019607543945,10.449999809265137,19.299999237060547,35.25,24.899999618530273
20.200000762939453,30.450000762939453,33.28063201904297,9.5600004196167,18.049999237060547,33.5,23.799999237060547
20.850000381469727,32.099998474121094,33.754940032958984,9.720000267028809,18.25,33.5,24.149999618530273
22.600000381469727,35.0,35.41501998901367,10.25,18.950000762939453,34.349998474121094,24.5
23.0,35.349998474121094,36.08695602416992,10.75,19.0,34.29999923706055,25.0
21.600000381469727,33.650001525878906,36.047428131103516,10.149999618530273,18.75,33.599998474121094,24.549999237060547
20.799999237060547,32.45000076293945,35.21739196777344,9.960000038146973,18.600000381469727,33.04999923706055,24.5
20.700000762939453,33.20000076293945,35.375492095947266,10.25,18.549999237060547,32.400001525878906,24.299999237060547
19.75,31.200000762939453,33.83399200439453,9.8100004196167,17.600000381469727,31.25,23.899999618530273
19.049999237060547,31.200000762939453,32.687747955322266,9.90999984741211,17.600000381469727,32.04999923706055,24.049999237060547
20.950000762939453,34.099998474121094,34.387351989746094,10.350000381469727,17.899999618530273,33.0,24.5
21.600000381469727,33.54999923706055,33.399208068847656,9.979999542236328,17.649999618530273,32.54999923706055,24.350000381469727
21.950000762939453,33.95000076293945,34.387351989746094,9.9399995803833,17.649999618530273,32.45000076293945,24.75
21.5,33.70000076293945,33.359683990478516,9.899999618530273,17.350000381469727,32.5,24.649999618530273
23.649999618530273,36.70000076293945,34.703556060791016,10.350000381469727,18.0,33.150001525878906,25.75
25.549999237060547,37.45000076293945,35.770748138427734,11.350000381469727,19.799999237060547,35.25,26.75
25.600000381469727,36.849998474121094,35.17786407470703,11.5,20.0,35.150001525878906,26.399999618530273
28.149999618530273,39.400001525878906,36.956520080566406,12.100000381469727,20.25,35.150001525878906,26.649999618530273
28.25,38.349998474121094,36.916996002197266,11.899999618530273,20.049999237060547,35.099998474121094,26.850000381469727
27.899999618530273,36.75,36.3636360168457,11.649999618530273,19.5,34.54999923706055,27.100000381469727
28.5,37.650001525878906,37.39130401611328,11.649999618530273,20.0,35.0,27.899999618530273
29.0,37.95000076293945,37.90513610839844,11.699999809265137,20.0,34.650001525878906,27.850000381469727
27.100000381469727,36.5,35.968379974365234,11.300000190734863,19.549999237060547,33.599998474121094,27.299999237060547
27.600000381469727,38.04999923706055,37.39130401611328,11.449999809265137,20.0,34.70000076293945,27.950000762939453
26.600000381469727,37.29999923706055,36.403160095214844,11.75,20.0,35.849998474121094,28.25
26.049999237060547,37.29999923706055,36.245059967041016,11.449999809265137,19.649999618530273,36.0,27.899999618530273
26.799999237060547,37.349998474121094,35.88932800292969,11.649999618530273,19.549999237060547,35.5,28.0
27.600000381469727,38.400001525878906,37.549407958984375,11.800000190734863,19.950000762939453,36.70000076293945,28.649999618530273
28.0,38.04999923706055,37.15414810180664,11.699999809265137,19.950000762939453,36.5,28.850000381469727
28.100000381469727,38.150001525878906,37.351776123046875,11.75,19.950000762939453,36.400001525878906,28.799999237060547
29.149999618530273,38.79999923706055,37.47035598754883,11.600000381469727,20.0,36.70000076293945,29.049999237060547
31.299999237060547,40.0,38.498023986816406,12.75,22.0,37.75,29.850000381469727
30.049999237060547,39.599998474121094,38.45849609375,13.850000381469727,22.600000381469727,37.29999923706055,29.899999618530273
31.299999237060547,40.099998474121094,38.73517608642578,14.100000381469727,21.850000381469727,37.650001525878906,30.200000762939453
31.899999618530273,41.650001525878906,39.48616409301758,15.5,22.549999237060547,38.0,31.450000762939453
32.599998474121094,41.70000076293945,39.169960021972656,17.049999237060547,22.5,37.70000076293945,32.0
35.849998474121094,45.849998474121094,43.083003997802734,18.75,23.0,39.0,32.95000076293945
33.5,42.75,40.869564056396484,17.549999237060547,21.799999237060547,38.79999923706055,32.400001525878906
33.79999923706055,43.70000076293945,41.106719970703125,17.149999618530273,21.25,38.75,32.0
32.5,41.70000076293945,39.44664001464844,16.450000762939453,20.649999618530273,37.349998474121094,30.850000381469727
34.0,43.04999923706055,41.818180084228516,17.75,21.299999237060547,37.900001525878906,32.349998474121094
35.25,43.79999923706055,43.794464111328125,18.200000762939453,21.5,39.400001525878906,33.0
35.400001525878906,43.79999923706055,43.16205596923828,17.649999618530273,21.149999618530273,39.54999923706055,32.95000076293945
37.70000076293945,45.5,43.55731201171875,18.0,21.899999618530273,41.29999923706055,35.79999923706055
